authorId,name,slug
133,Dale Carnegie,dale-carnegie
7518107,Bizbooks biên soạn,bizbooks-bien-soan
20472,Ajahn Brahm,ajahn-brahm
638625,Albert Rutherford,albert-rutherford
282693,Ajay Agrawal,ajay-agrawal
282695,Joshua Gans,joshua-gans
282697,Avi Goldfarb,avi-goldfarb
50269,John Bradshaw,john-bradshaw
8247562,Lang Minh,lang-minh
175375,Kyle Gray,kyle-gray
8251065,Chương Nam,chuong-nam
8251304,Kim Beom Joon,kim-beom-joon
45726,Đặng Hoàng Giang,dang-hoang-giang
8254937,Nguyễn Trần Quang,nguyen-tran-quang
26874,Adam Grant,adam-grant
8256488,Michelle R. Weise,michelle-r-weise
4800,Phan Việt,phan-viet
893381,Lý Tử Quyên,ly-tu-quyen
8258186,Martha Beck,martha-beck
5122,Jonathan Haidt,jonathan-haidt
53774,Hae Min,hae-min
577273, Inamori Kazuo,inamori-kazuo
8258924,TS. Travis Bradberry,ts-travis-bradberry
49064,Cheryl Strayed,cheryl-strayed
8259754,Lê Công Minh,le-cong-minh
9725,Karen Frazier,karen-frazier
8260807,Stephen Witt,stephen-witt
8261863,Ethan Mollick,ethan-mollick
8074481,Trương Tiếu Hằng,truong-tieu-hang
11800,Han Kang,han-kang
272,Edward de Bono,edward-de-bono
267,Nassim Nicholas Taleb,Nassim-Nicholas-Taleb-
21427,Allan & Barbara Pease,allan-barbara-pease
74621,Nguyên Phong,nguyen-phong
5139,Minh Niệm,minh-niem
17575,Camilo Cruz,camilo-cruz
145396,Ken Honda,ken-honda
163121,Steven Schuster,steven-schuster
287491,Dr. James R. Doty,dr-james-r-doty
241855,Daniel Priestley,daniel-priestley
4021937,Kevin Harrington,kevin-harrington
4064677,Khương Nguy,khuong-nguy
429319,Jo Hemmings,jo-hemmings
46339,Rolf Dobelli,rolf-dobelli
4509587,Ethan Kross,ethan-kross
